estado,pais,casos,mortes,taxa_de_infeccao,Data,casos_em_24h,casos_media_7d,casos_media_movel,tendencia_de_casos,mortes_em_24h,mortes_media_7d,mortes_media_movel,tendencia_de_mortes
Acre,Brazil,41689,796,4726.992352044085,2021-01-01,,,,N/A,,,,N/A
Acre,Brazil,41941,798,4755.565886374846,2021-01-02,252.0,,,N/A,2.0,,,N/A
Acre,Brazil,42046,802,4767.47152567933,2021-01-03,105.0,,,N/A,4.0,,,N/A
Acre,Brazil,42117,806,4775.522005589981,2021-01-04,71.0,,,N/A,4.0,,,N/A
Acre,Brazil,42170,808,4781.53151876272,2021-01-05,53.0,,,N/A,2.0,,,N/A
Acre,Brazil,42378,814,4805.116023289698,2021-01-06,208.0,,,N/A,6.0,,,N/A
Acre,Brazil,42478,821,4816.454727389207,2021-01-07,100.0,,,N/A,7.0,,,N/A
Acre,Brazil,42814,823,4854.552773163555,2021-01-08,336.0,161.0,,N/A,2.0,4.0,,N/A
Acre,Brazil,42908,823,4865.211155017093,2021-01-09,94.0,139.0,,N/A,0.0,4.0,,N/A
Acre,Brazil,43127,825,4890.042916995017,2021-01-10,219.0,155.0,,N/A,2.0,4.0,,N/A
Acre,Brazil,43346,826,4914.87467897294,2021-01-11,219.0,176.0,,N/A,1.0,3.0,,N/A
Acre,Brazil,43432,827,4924.6259644985175,2021-01-12,86.0,181.0,,N/A,1.0,3.0,,N/A
Acre,Brazil,43785,829,4964.651589969782,2021-01-13,353.0,201.0,,N/A,2.0,3.0,,N/A
Acre,Brazil,44068,832,4996.740122571391,2021-01-14,283.0,228.0,,N/A,3.0,2.0,,N/A
Acre,Brazil,44156,835,5006.718182178959,2021-01-15,88.0,192.0,,N/A,3.0,2.0,,N/A
Acre,Brazil,44621,835,5059.443156241673,2021-01-16,465.0,245.0,,N/A,0.0,2.0,,N/A
Acre,Brazil,44767,836,5075.997664226956,2021-01-17,146.0,235.0,,N/A,1.0,2.0,,N/A
Acre,Brazil,44775,837,5076.904760554916,2021-01-18,8.0,205.0,,N/A,1.0,2.0,,N/A
Acre,Brazil,45208,839,5126.001349305788,2021-01-19,433.0,254.0,,N/A,2.0,2.0,,N/A
Acre,Brazil,45429,840,5151.059885365701,2021-01-20,221.0,235.0,,N/A,1.0,2.0,,N/A
Acre,Brazil,45729,844,5185.075997664227,2021-01-21,300.0,238.0,,N/A,4.0,2.0,,N/A
Acre,Brazil,45987,846,5214.329854240958,2021-01-22,258.0,262.0,1.6273291925465838,Aumentando,2.0,2.0,0.5,Abaixando
Acre,Brazil,46239,848,5242.90338857172,2021-01-23,252.0,232.0,1.669064748201439,Aumentando,2.0,2.0,0.5,Abaixando
Acre,Brazil,46429,850,5264.446926360786,2021-01-24,190.0,238.0,1.5354838709677419,Aumentando,2.0,2.0,0.5,Abaixando
Acre,Brazil,46539,854,5276.919500870245,2021-01-25,110.0,252.0,1.4318181818181819,Aumentando,4.0,3.0,1.0,Estabilizado
Acre,Brazil,46774,856,5303.56545550409,2021-01-26,235.0,224.0,1.2375690607734806,Aumentando,2.0,3.0,1.0,Estabilizado
Acre,Brazil,47119,858,5342.683984647395,2021-01-27,345.0,242.0,1.2039800995024876,Aumentando,2.0,3.0,1.0,Estabilizado
Acre,Brazil,47461,860,5381.462352667713,2021-01-28,342.0,248.0,1.087719298245614,Estabilizado,2.0,3.0,1.5,Aumentando
Acre,Brazil,47936,861,5435.321197140379,2021-01-29,475.0,279.0,1.453125,Aumentando,1.0,3.0,1.5,Aumentando
Acre,Brazil,48347,864,5481.923270989359,2021-01-30,411.0,302.0,1.2326530612244897,Aumentando,3.0,3.0,1.5,Aumentando
Acre,Brazil,48467,867,5495.529715908769,2021-01-31,120.0,292.0,1.2425531914893617,Aumentando,3.0,3.0,1.5,Aumentando
Acre,Brazil,48820,873,5535.5553413800335,2021-02-01,353.0,326.0,1.5902439024390245,Aumentando,6.0,3.0,1.5,Aumentando
Acre,Brazil,49049,876,5561.520973767908,2021-02-02,229.0,325.0,1.279527559055118,Aumentando,3.0,3.0,1.5,Aumentando
Acre,Brazil,49547,879,5617.987720183461,2021-02-03,498.0,347.0,1.476595744680851,Aumentando,3.0,3.0,1.5,Aumentando
Acre,Brazil,49944,882,5663.002375458509,2021-02-04,397.0,355.0,1.4915966386554622,Aumentando,3.0,4.0,2.0,Aumentando
Acre,Brazil,50122,884,5683.185268755634,2021-02-05,178.0,313.0,1.1946564885496183,Aumentando,2.0,4.0,2.0,Aumentando
Acre,Brazil,50454,886,5683.185268755634,2021-02-06,332.0,301.0,1.2974137931034482,Aumentando,2.0,4.0,2.0,Aumentando
Acre,Brazil,50546,888,5731.26137413755,2021-02-07,92.0,297.0,1.2478991596638656,Aumentando,2.0,3.0,1.5,Aumentando
Acre,Brazil,50694,893,5731.26137413755,2021-02-08,148.0,268.0,1.0634920634920635,Estabilizado,5.0,3.0,1.0,Estabilizado
Acre,Brazil,51269,900,5813.240204776996,2021-02-09,575.0,318.0,1.4196428571428572,Aumentando,7.0,4.0,1.3333333333333333,Aumentando
Acre,Brazil,51679,902,5859.72889158498,2021-02-10,410.0,305.0,1.2603305785123966,Aumentando,2.0,4.0,1.3333333333333333,Aumentando
Acre,Brazil,52172,907,5915.628702795558,2021-02-11,493.0,319.0,1.2862903225806452,Aumentando,5.0,4.0,1.3333333333333333,Aumentando
Acre,Brazil,52548,910,5958.26223020971,2021-02-12,376.0,347.0,1.2437275985663083,Aumentando,3.0,4.0,1.3333333333333333,Aumentando
Acre,Brazil,52920,917,6000.442209459881,2021-02-13,372.0,353.0,1.1688741721854305,Aumentando,7.0,5.0,1.6666666666666667,Aumentando
Acre,Brazil,53027,921,6012.574622846355,2021-02-14,107.0,355.0,1.2157534246575343,Aumentando,4.0,5.0,1.6666666666666667,Aumentando
Acre,Brazil,53455,931,6061.104276392251,2021-02-15,428.0,395.0,1.2116564417177915,Aumentando,10.0,6.0,2.0,Aumentando
Acre,Brazil,53590,932,6076.411526926588,2021-02-16,135.0,332.0,1.0215384615384615,Estabilizado,1.0,5.0,1.6666666666666667,Aumentando
Acre,Brazil,53892,940,6110.654413307103,2021-02-17,302.0,317.0,0.9135446685878963,Estabilizado,8.0,6.0,2.0,Aumentando
Acre,Brazil,54130,948,6137.640529063933,2021-02-18,238.0,280.0,0.7887323943661971,Estabilizado,8.0,6.0,1.5,Aumentando
Acre,Brazil,54562,951,6186.62373077381,2021-02-19,432.0,288.0,0.9201277955271565,Estabilizado,3.0,6.0,1.5,Aumentando
Acre,Brazil,54743,957,6207.146785193921,2021-02-20,181.0,261.0,0.867109634551495,Estabilizado,6.0,6.0,1.5,Aumentando
Acre,Brazil,54786,963,6212.022427956709,2021-02-21,43.0,252.0,0.8484848484848485,Estabilizado,6.0,6.0,2.0,Aumentando
Acre,Brazil,54969,968,6232.772256458809,2021-02-22,183.0,217.0,0.8097014925373134,Estabilizado,5.0,6.0,2.0,Aumentando
Acre,Brazil,55591,974,6303.298995957752,2021-02-23,622.0,286.0,0.89937106918239,Estabilizado,6.0,6.0,1.5,Aumentando
Acre,Brazil,55881,975,6336.181237846326,2021-02-24,290.0,285.0,0.9344262295081968,Estabilizado,1.0,5.0,1.25,Aumentando
Acre,Brazil,56257,982,6378.814765260478,2021-02-25,376.0,304.0,0.9529780564263323,Estabilizado,7.0,5.0,1.25,Aumentando
