data,novos_casos,novas_mortes,total_casos,total_mortes,porcentagem_primeira_dose,porcentagem_segunda_dose,porcentagem_dose_reforco
2021-01-01,0.0,0.0,7703971,195541,,,
2021-01-02,15353.0,293.0,7719324,195834,,,
2021-01-03,17190.0,311.0,7736514,196145,,,
2021-01-04,25039.0,597.0,7761553,196742,,,
2021-01-05,58083.0,1188.0,7819636,197930,,,
2021-01-06,62507.0,1231.0,7882143,199161,,,
2021-01-07,87969.0,1518.0,7970112,200679,,,
2021-01-08,59586.0,1081.0,8029698,201760,,,
2021-01-09,51393.0,1009.0,8081091,202769,,,
2021-01-10,29027.0,490.0,8110118,203259,,,
2021-01-11,30747.0,491.0,8140865,203750,,,
2021-01-12,64424.0,1125.0,8205289,204875,,,
2021-01-13,59827.0,1264.0,8265116,206139,,,
2021-01-14,68329.0,1154.0,8333445,207293,,,
2021-01-15,69097.0,1135.0,8402542,208428,,,
2021-01-16,58445.0,1014.0,8460987,209442,,,
2021-01-17,31416.0,551.0,8492403,209993,0.0,0.0,0.0
2021-01-18,28933.0,476.0,8521336,210469,0.0,0.0,0.0
2021-01-19,62149.0,1160.0,8583485,211629,0.0001,0.0,0.0
2021-01-20,64477.0,1395.0,8647962,213024,0.0005,0.0,0.0
2021-01-21,58950.0,1347.0,8706912,214371,0.0009,0.0,0.0
2021-01-22,56605.0,1071.0,8763517,215442,0.0022,0.0,0.0
2021-01-23,58298.0,1145.0,8821815,216587,0.0027,0.0,0.0
2021-01-24,28519.0,595.0,8850334,217182,0.0029,0.0,0.0
2021-01-25,30530.0,690.0,8880864,217872,0.0038,0.0,0.0
2021-01-26,61608.0,1155.0,8942472,219027,0.005,0.0,0.0
2021-01-27,64772.0,1336.0,9007244,220363,0.0063,0.0,0.0
2021-01-28,60760.0,1438.0,9068004,221801,0.0074,0.0,0.0
2021-01-29,59503.0,1087.0,9127507,222888,0.0091,0.0,0.0
2021-01-30,53114.0,1192.0,9180621,224080,0.0097,0.0,0.0
2021-01-31,27900.0,568.0,9208521,224648,0.0099,0.0,0.0
2021-02-01,28490.0,623.0,9237011,225271,0.0109,0.0,0.0
2021-02-02,56278.0,1261.0,9293289,226532,0.012,0.0,0.0
2021-02-03,54414.0,1199.0,9347703,227731,0.0133,0.0,0.0
2021-02-04,57107.0,1276.0,9404810,229007,0.0146,0.0,0.0
2021-02-05,51690.0,1251.0,9456500,230258,0.0162,0.0,0.0
2021-02-06,46310.0,937.0,9502810,231195,0.0168,0.0001,0.0
2021-02-07,26162.0,489.0,9528972,231684,0.017,0.0001,0.0
2021-02-08,28586.0,721.0,9557558,232405,0.018,0.0002,0.0
2021-02-09,51217.0,1315.0,9608775,233720,0.0194,0.0002,0.0
2021-02-10,61108.0,1361.0,9669883,235081,0.0206,0.0004,0.0
2021-02-11,53604.0,1442.0,9723487,236523,0.0218,0.0005,0.0
2021-02-12,48942.0,1220.0,9772429,237743,0.0235,0.0008,0.0
2021-02-13,44856.0,1025.0,9817285,238768,0.024,0.0009,0.0
2021-02-14,30723.0,653.0,9848008,239421,0.0241,0.001,0.0
2021-02-15,25808.0,611.0,9873816,240032,0.0253,0.0014,0.0
2021-02-16,65284.0,1092.0,9939100,241124,0.0253,0.0027,0.0
2021-02-17,47225.0,1189.0,9986325,242313,0.0261,0.0034,0.0
