country,population,total_de_vacinados,primeira_dose,segunda_dose,dose_reforco,data,porcentagem_primeira_dose,porcentagem_segunda_dose,porcentagem_dose_reforco
Brazil,210306411.0,,,,,2021-01-01,,,
Brazil,210306411.0,,,,,2021-01-02,,,
Brazil,210306411.0,,,,,2021-01-03,,,
Brazil,210306411.0,,,,,2021-01-04,,,
Brazil,210306411.0,,,,,2021-01-05,,,
Brazil,210306411.0,,,,,2021-01-06,,,
Brazil,210306411.0,,,,,2021-01-07,,,
Brazil,210306411.0,,,,,2021-01-08,,,
Brazil,210306411.0,,,,,2021-01-09,,,
Brazil,210306411.0,,,,,2021-01-10,,,
Brazil,210306411.0,,,,,2021-01-11,,,
Brazil,210306411.0,,,,,2021-01-12,,,
Brazil,210306411.0,,,,,2021-01-13,,,
Brazil,210306411.0,,,,,2021-01-14,,,
Brazil,210306411.0,,,,,2021-01-15,,,
Brazil,210306411.0,,,,,2021-01-16,,,
Brazil,210306411.0,112.0,112.0,0.0,0.0,2021-01-17,0.0,0.0,0.0
Brazil,210306411.0,1109.0,1109.0,0.0,0.0,2021-01-18,0.0,0.0,0.0
Brazil,210306411.0,13527.0,13527.0,0.0,0.0,2021-01-19,0.0001,0.0,0.0
Brazil,210306411.0,105824.0,105824.0,0.0,0.0,2021-01-20,0.0005,0.0,0.0
Brazil,210306411.0,193699.0,193699.0,0.0,0.0,2021-01-21,0.0009,0.0,0.0
Brazil,210306411.0,462269.0,462269.0,0.0,0.0,2021-01-22,0.0022,0.0,0.0
Brazil,210306411.0,573268.0,573268.0,0.0,0.0,2021-01-23,0.0027,0.0,0.0
Brazil,210306411.0,613954.0,613954.0,0.0,0.0,2021-01-24,0.0029,0.0,0.0
Brazil,210306411.0,801759.0,801759.0,0.0,0.0,2021-01-25,0.0038,0.0,0.0
Brazil,210306411.0,1045746.0,1045746.0,0.0,0.0,2021-01-26,0.005,0.0,0.0
Brazil,210306411.0,1327546.0,1327546.0,0.0,0.0,2021-01-27,0.0063,0.0,0.0
Brazil,210306411.0,1563098.0,1563098.0,0.0,0.0,2021-01-28,0.0074,0.0,0.0
Brazil,210306411.0,1923813.0,1923813.0,0.0,0.0,2021-01-29,0.0091,0.0,0.0
Brazil,210306411.0,2046523.0,2046523.0,0.0,0.0,2021-01-30,0.0097,0.0,0.0
Brazil,210306411.0,2084119.0,2084119.0,0.0,0.0,2021-01-31,0.0099,0.0,0.0
Brazil,210306411.0,2292551.0,2292551.0,0.0,0.0,2021-02-01,0.0109,0.0,0.0
Brazil,210306411.0,2521704.0,2521704.0,0.0,0.0,2021-02-02,0.012,0.0,0.0
Brazil,210306411.0,2802134.0,2802134.0,0.0,0.0,2021-02-03,0.0133,0.0,0.0
Brazil,210306411.0,3074906.0,3074906.0,0.0,0.0,2021-02-04,0.0146,0.0,0.0
Brazil,210306411.0,3401383.0,3399421.0,1962.0,0.0,2021-02-05,0.0162,0.0,0.0
Brazil,210306411.0,3553681.0,3534004.0,19677.0,0.0,2021-02-06,0.0168,0.0001,0.0
Brazil,210306411.0,3605538.0,3579850.0,25688.0,0.0,2021-02-07,0.017,0.0001,0.0
Brazil,210306411.0,3820207.0,3786591.0,33616.0,0.0,2021-02-08,0.018,0.0002,0.0
Brazil,210306411.0,4120332.0,4069677.0,50655.0,0.0,2021-02-09,0.0194,0.0002,0.0
