country,population,total_de_vacinados,primeira_dose,segunda_dose,dose_reforco,data
Brazil,210306411.0,,,,,2021-01-01
Brazil,210306411.0,,,,,2021-01-02
Brazil,210306411.0,,,,,2021-01-03
Brazil,210306411.0,,,,,2021-01-04
Brazil,210306411.0,,,,,2021-01-05
Brazil,210306411.0,,,,,2021-01-06
Brazil,210306411.0,,,,,2021-01-07
Brazil,210306411.0,,,,,2021-01-08
Brazil,210306411.0,,,,,2021-01-09
Brazil,210306411.0,,,,,2021-01-10
Brazil,210306411.0,,,,,2021-01-11
Brazil,210306411.0,,,,,2021-01-12
Brazil,210306411.0,,,,,2021-01-13
Brazil,210306411.0,,,,,2021-01-14
Brazil,210306411.0,,,,,2021-01-15
Brazil,210306411.0,,,,,2021-01-16
Brazil,210306411.0,112.0,112.0,0.0,0.0,2021-01-17
Brazil,210306411.0,1109.0,1109.0,0.0,0.0,2021-01-18
Brazil,210306411.0,13527.0,13527.0,0.0,0.0,2021-01-19
Brazil,210306411.0,105824.0,105824.0,0.0,0.0,2021-01-20
Brazil,210306411.0,193699.0,193699.0,0.0,0.0,2021-01-21
Brazil,210306411.0,462269.0,462269.0,0.0,0.0,2021-01-22
Brazil,210306411.0,573268.0,573268.0,0.0,0.0,2021-01-23
Brazil,210306411.0,613954.0,613954.0,0.0,0.0,2021-01-24
Brazil,210306411.0,801759.0,801759.0,0.0,0.0,2021-01-25
Brazil,210306411.0,1045746.0,1045746.0,0.0,0.0,2021-01-26
Brazil,210306411.0,1327546.0,1327546.0,0.0,0.0,2021-01-27
Brazil,210306411.0,1563098.0,1563098.0,0.0,0.0,2021-01-28
Brazil,210306411.0,1923813.0,1923813.0,0.0,0.0,2021-01-29
Brazil,210306411.0,2046523.0,2046523.0,0.0,0.0,2021-01-30
Brazil,210306411.0,2084119.0,2084119.0,0.0,0.0,2021-01-31
Brazil,210306411.0,2292551.0,2292551.0,0.0,0.0,2021-02-01
Brazil,210306411.0,2521704.0,2521704.0,0.0,0.0,2021-02-02
Brazil,210306411.0,2802134.0,2802134.0,0.0,0.0,2021-02-03
Brazil,210306411.0,3074906.0,3074906.0,0.0,0.0,2021-02-04
Brazil,210306411.0,3401383.0,3399421.0,1962.0,0.0,2021-02-05
Brazil,210306411.0,3553681.0,3534004.0,19677.0,0.0,2021-02-06
Brazil,210306411.0,3605538.0,3579850.0,25688.0,0.0,2021-02-07
Brazil,210306411.0,3820207.0,3786591.0,33616.0,0.0,2021-02-08
Brazil,210306411.0,4120332.0,4069677.0,50655.0,0.0,2021-02-09
Brazil,210306411.0,4406835.0,4326075.0,80760.0,0.0,2021-02-10
Brazil,210306411.0,4696136.0,4586270.0,109866.0,0.0,2021-02-11
Brazil,210306411.0,5125206.0,4946738.0,178468.0,0.0,2021-02-12
Brazil,210306411.0,5236943.0,5042713.0,194230.0,0.0,2021-02-13
Brazil,210306411.0,5293979.0,5076110.0,217869.0,0.0,2021-02-14
Brazil,210306411.0,5609937.0,5324317.0,285620.0,0.0,2021-02-15
Brazil,210306411.0,5883539.0,5326007.0,557532.0,0.0,2021-02-16
Brazil,210306411.0,6206680.0,5482925.0,723755.0,0.0,2021-02-17
Brazil,210306411.0,6535156.0,5640483.0,894673.0,0.0,2021-02-18
Brazil,210306411.0,6813168.0,5756361.0,1056807.0,0.0,2021-02-19
